Strategy name,Entry time,Symbol,Exit time,PnL,1 minute MACD,1 minute RSI,1 minute KDJ,1 minute EMA,1 minute MA,1 minute TSI,1 minute SuperTrend Vs DEMA,1 minute Bollinger,3 minutes MACD,3 minutes RSI,3 minutes KDJ,3 minutes EMA,3 minutes MA,3 minutes TSI,3 minutes SuperTrend Vs DEMA,3 minutes Bollinger,5 minutes MACD,5 minutes RSI,5 minutes KDJ,5 minutes EMA,5 minutes MA,5 minutes TSI,5 minutes SuperTrend Vs DEMA,5 minutes Bollinger,15 minutes MACD,15 minutes RSI,15 minutes KDJ,15 minutes EMA,15 minutes MA,15 minutes TSI,15 minutes SuperTrend Vs DEMA,15 minutes Bollinger,30 minutes MACD,30 minutes RSI,30 minutes KDJ,30 minutes EMA,30 minutes MA,30 minutes TSI,30 minutes SuperTrend Vs DEMA,30 minutes Bollinger,1 hour MACD,1 hour RSI,1 hour KDJ,1 hour EMA,1 hour MA,1 hour TSI,1 hour SuperTrend Vs DEMA,1 hour Bollinger,2 hours MACD,2 hours RSI,2 hours KDJ,2 hours EMA,2 hours MA,2 hours TSI,2 hours SuperTrend Vs DEMA,2 hours Bollinger,4 hours MACD,4 hours RSI,4 hours KDJ,4 hours EMA,4 hours MA,4 hours TSI,4 hours SuperTrend Vs DEMA,4 hours Bollinger,6 hours MACD,6 hours RSI,6 hours KDJ,6 hours EMA,6 hours MA,6 hours TSI,6 hours SuperTrend Vs DEMA,6 hours Bollinger,8 hours MACD,8 hours RSI,8 hours KDJ,8 hours EMA,8 hours MA,8 hours TSI,8 hours SuperTrend Vs DEMA,8 hours Bollinger,12 hours MACD,12 hours RSI,12 hours KDJ,12 hours EMA,12 hours MA,12 hours TSI,12 hours SuperTrend Vs DEMA,12 hours Bollinger,1 day MACD,1 day RSI,1 day KDJ,1 day EMA,1 day MA,1 day TSI,1 day SuperTrend Vs DEMA,1 day Bollinger,3 days MACD,3 days RSI,3 days KDJ,3 days EMA,3 days MA,3 days TSI,3 days SuperTrend Vs DEMA,3 days Bollinger,1 week MACD,1 week RSI,1 week KDJ,1 week EMA,1 week MA,1 week TSI,1 week SuperTrend Vs DEMA,1 week Bollinger,1 month MACD,1 month RSI,1 month KDJ,1 month EMA,1 month MA,1 month TSI,1 month SuperTrend Vs DEMA,1 month Bollinger
1 hour EMA,8/19/2023 4:00,XECUSDT,8/19/2023 7:00,-1.123595506,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,n,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,y,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,8/7/2023 3:00,XECUSDT,8/7/2023 16:00,-2.113156101,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,n,n,y,y,y,n,y,y,n,n,y,y,y,n,y,y,y,n,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,y,n,y,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,8/5/2023 22:00,XECUSDT,8/7/2023 1:00,-0.722145805,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,n,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,y,n,y,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,8/14/2023 17:00,XECUSDT,8/14/2023 19:00,-0.924657534,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,n,y,n,n,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,n,n,n,y,y,n,y,n,n,n,y,y,y,n,n,n,y,n,n,y,y,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,y,n,n,y,y,n,y,n,y,n,n,n,y,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/26/2023 21:00,XECUSDT,7/27/2023 19:00,-1.212529471,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/27/2023 22:00,XECUSDT,7/28/2023 3:00,-0.606060606,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,n,n,n,n,y,y,n,y,y,n,n,y,n,y,n,n,y,y,n,n,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,8/8/2023 0:00,XECUSDT,8/9/2023 7:00,1.642710472,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,n,y,y,n,n,y,y,n,y,y,n,n,n,y,y,n,y,n,n,n,n,y,y,n,n,n,y,n,n,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,y,n,y,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/28/2023 15:00,XECUSDT,7/30/2023 11:00,-0.100536193,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/16/2023 18:00,XECUSDT,7/16/2023 20:00,-0.924397491,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,y,y,y,n,n,y,y,n,y,y,n,n,n,y,y,n,y,y,n,n,n,y,y,n,n,n,y,n,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,y,y,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/17/2023 1:00,XECUSDT,7/17/2023 18:00,-3.252818035,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,n,n,y,y,y,n,n,n,y,n,n,y,y,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,y,y,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/16/2023 2:00,XECUSDT,7/16/2023 13:00,-3.620634412,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,n,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,y,y,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
